Dataset,Model,TP,FP,TN,FN,Precision,Recall,F1
shuffled,gemini,56,16,3,0,0.7777777777777778,1.0,0.8750000000000001
shuffled,claude,60,10,5,0,0.8571428571428571,1.0,0.923076923076923
shuffled,o3,63,10,2,0,0.863013698630137,1.0,0.9264705882352942
shuffled,qwen,51,17,7,0,0.75,1.0,0.8571428571428571
shuffled,deepseek,56,17,2,0,0.7671232876712328,1.0,0.8682170542635659
shuffled,grok,62,9,4,0,0.8732394366197183,1.0,0.9323308270676691
shuffled,mistral,48,15,9,3,0.7619047619047619,0.9411764705882353,0.8421052631578947
shuffled,llama,55,7,12,1,0.8870967741935484,0.9821428571428571,0.9322033898305085
masked,claude,64,5,8,0,0.927536231884058,1.0,0.9624060150375939
masked,gemini,61,11,5,0,0.8472222222222222,1.0,0.9172932330827067
masked,llama,54,6,16,1,0.9,0.9818181818181818,0.9391304347826087
masked,o3,62,11,4,0,0.8493150684931506,1.0,0.9185185185185185
masked,mistral,49,19,7,2,0.7205882352941176,0.9607843137254902,0.823529411764706
masked,grok3,63,7,7,0,0.9,1.0,0.9473684210526316
masked,qwen3,52,12,13,0,0.8125,1.0,0.896551724137931
masked,deepseek,55,19,3,0,0.7432432432432432,1.0,0.8527131782945736
masked_shuffled,gemini,48,25,2,0,0.6575342465753424,1.0,0.7933884297520661
masked_shuffled,claude,56,11,8,0,0.835820895522388,1.0,0.9105691056910569
masked_shuffled,o3,58,15,2,0,0.7945205479452054,1.0,0.8854961832061068
masked_shuffled,qwen,44,17,13,1,0.7213114754098361,0.9777777777777777,0.8301886792452831
masked_shuffled,deepseek,51,23,1,0,0.6891891891891891,1.0,0.8160000000000001
masked_shuffled,grok,56,14,5,0,0.8,1.0,0.888888888888889
masked_shuffled,mistral,41,22,10,2,0.6507936507936508,0.9534883720930233,0.7735849056603774
masked_shuffled,llama,48,10,16,1,0.8275862068965517,0.9795918367346939,0.897196261682243
base,claude,61,10,6,0,0.8591549295774648,1.0,0.9242424242424242
base,gemini,55,17,5,0,0.7638888888888888,1.0,0.8661417322834646
base,llama4,50,8,19,0,0.8620689655172413,1.0,0.9259259259259259
base,mistral,53,12,9,3,0.8153846153846154,0.9464285714285714,0.8760330578512396
base,grok3,62,8,7,0,0.8857142857142857,1.0,0.9393939393939393
base,o3,65,7,5,0,0.9027777777777778,1.0,0.9489051094890512
base,deepseek,54,15,5,3,0.782608695652174,0.9473684210526315,0.8571428571428571
base,qwen3,54,14,9,0,0.7941176470588235,1.0,0.8852459016393442
