Judge,Model,base,masked,masked_shuffled,shuffled
claude,claude,0.818,0.821,0.74,0.803
claude,deepseek,0.773,0.776,0.76,0.78
claude,gemini,0.724,0.782,0.69,0.737
claude,grok3,0.825,0.825,0.763,0.823
claude,llama4,0.672,0.708,0.66,0.713
claude,mistral,0.727,0.744,0.643,0.697
claude,o3,0.838,0.834,0.813,0.83
claude,qwen3,0.727,0.724,0.607,0.707
deepseek,claude,0.516,0.74,0.72,0.79
deepseek,deepseek,0.636,0.724,0.71,0.733
deepseek,gemini,0.591,0.724,0.643,0.73
deepseek,grok3,0.679,0.75,0.713,0.777
deepseek,llama4,0.555,0.646,0.627,0.7
deepseek,mistral,0.601,0.675,0.603,0.64
deepseek,o3,0.756,0.766,0.78,0.79
deepseek,qwen3,0.584,0.656,0.553,0.65
gemini,claude,0.766,0.75,0.67,0.737
gemini,deepseek,0.692,0.682,0.687,0.693
gemini,gemini,0.646,0.705,0.637,0.663
gemini,grok3,0.753,0.766,0.697,0.76
gemini,llama4,0.601,0.636,0.603,0.667
gemini,mistral,0.672,0.649,0.54,0.613
gemini,o3,0.753,0.763,0.733,0.74
gemini,qwen3,0.643,0.669,0.54,0.63
grok,claude,0.782,0.763,0.697,0.773
grok,deepseek,0.718,0.718,0.693,0.72
grok,gemini,0.666,0.714,0.647,0.68
grok,grok3,0.769,0.779,0.727,0.787
grok,llama4,0.63,0.666,0.617,0.68
grok,mistral,0.682,0.662,0.557,0.637
grok,o3,0.802,0.782,0.773,0.777
grok,qwen3,0.666,0.666,0.55,0.633
llama4,claude,0.321,0.769,0.693,0.77
llama4,deepseek,0.377,0.74,0.707,0.723
llama4,gemini,0.256,0.744,0.66,0.693
llama4,grok3,0.403,0.789,0.727,0.773
llama4,llama4,0.325,0.688,0.623,0.697
llama4,mistral,0.364,0.695,0.583,0.633
llama4,o3,0.802,0.792,0.783,0.793
llama4,qwen3,0.325,0.675,0.567,0.653
mistral,claude,0.705,0.649,0.64,0.7
mistral,deepseek,0.669,0.656,0.663,0.683
mistral,gemini,0.617,0.636,0.597,0.653
mistral,grok3,0.685,0.656,0.65,0.71
mistral,llama4,0.581,0.588,0.563,0.647
mistral,mistral,0.633,0.594,0.543,0.607
mistral,o3,0.656,0.675,0.69,0.7
mistral,qwen3,0.636,0.571,0.513,0.6
openai,claude,0.815,0.786,0.713,0.777
openai,deepseek,0.74,0.734,0.703,0.71
openai,gemini,0.708,0.724,0.637,0.7
openai,grok3,0.763,0.792,0.737,0.797
openai,llama4,0.646,0.666,0.633,0.683
openai,mistral,0.705,0.682,0.55,0.62
openai,o3,0.789,0.789,0.777,0.773
openai,qwen3,0.682,0.669,0.56,0.673
qwen3,claude,0.685,0.656,0.623,0.7
qwen3,deepseek,0.672,0.656,0.667,0.673
qwen3,gemini,0.61,0.669,0.58,0.65
qwen3,grok3,0.682,0.695,0.66,0.727
qwen3,llama4,0.571,0.61,0.58,0.65
qwen3,mistral,0.607,0.588,0.53,0.57
qwen3,o3,0.705,0.695,0.717,0.733
qwen3,qwen3,0.601,0.601,0.517,0.617
